chapter,retrieval_score,full_context_score
5,89.5,89.5
6,93.7,90.8
7,92.1,90.0
8,92.0,87.5
9,92.2,95.2
10,95.0,94.0
11,90.8,96.0
12,88.3,91.0
13,89.5,89.5
14,93.0,89.8
15,93.2,90.0
16,90.3,88.2
17,89.92,92.4
18,93.7,90.0
19,92.2,89.8
20,89.3,91.5
21,95.5,92.7
22,89.7,89.8
23,93.9,93.5
24,91.9,91.7
25,90.8,92.8
26,90.0,91.9
27,94.3,87.8
28,92.7,90.0
29,92.7,75.55
30,96.3,90.5
31,87.85,90.0
32,100.0,89.8
33,93.0,87.3
34,93.1,87.8
35,91.5,100.0
36,91.3,96.2
37,90.6,89.3
38,88.5,91.7
39,90.2,91.9
40,93.5,84.5
41,95.2,80.1
42,94.2,90.7
43,91.3,87.4
44,85.5,84.0
45,94.6,86.8
46,90.5,89.0
47,92.0,95.0
48,89.8,89.5
49,93.5,88.8
50,90.7,85.9
51,92.7,86.0
52,91.3,89.3
53,92.4,84.0
54,95.0,91.7
55,92.5,100.0
56,89.3,94.5
57,94.2,91.39
58,83.8,81.7
59,94.2,93.7
60,90.1,86.0
61,93.3,100.0
62,91.9,92.0
63,92.5,90.0
64,91.7,91.8
65,92.7,90.5
